location,continent,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita
Sudan,Africa,39598.410746812384,54.621899059024805,562941.0,4432576.0,3351052.5789473685,728495.9230769231,29.716967441860465,23.258,4466.507
Suriname,South America,40785.09124087591,70.6138698630137,34599.21363636364,304263.2425531915,184852.15384615384,46021.307692307695,55.2845530726257,3.6119999999999997,13767.119
Sweden,Europe,1306288.7414548642,2321.013757523646,9622971.834951457,16364194.150442477,6235871.10619469,9046891.551724138,37.39731162790698,24.718,46949.283
Switzerland,Europe,1738291.3742166518,3768.6929674099483,8573799.357048748,11464977.15538847,4800615.868421053,2246382.568527919,35.525069767441856,214.243,57410.16599999999
Syria,Asia,32648.23140495868,49.121471343028226,165124.5,2698986.96,1826153.2444444445,38891.22222222222,38.24518139534884,,
Taiwan,Asia,,,2299945.302927928,37993802.16036036,15700684.76,15464806.650289018,30.27099534883721,,
Tajikistan,Asia,14660.88380952381,15.214713430282293,,4824034.26984127,2390821.1774193547,2364925.0,28.419237209302327,64.281,2896.913
Tanzania,Africa,18898.804566210045,36.72112917023097,441724.5,15923514.055555556,14565393.303030303,7171363.0,15.188846511627908,64.699,2683.304
Thailand,Asia,1836638.8602243313,4104.4609375,7801672.572562358,85134654.32897197,38598877.00934579,17668203.72906404,44.39186046511628,135.132,16277.671
Timor,Asia,12440.631868131868,20.033361847733104,200291.97297297296,1181179.075,613383.875,184957.94594594595,38.08807441860465,87.176,6570.102
Togo,Africa,20777.593128390596,33.710008554319934,303819.4263363755,1950636.4375,1343582.1666666667,194386.4,44.383386046511625,143.366,1429.813
Tokelau,Oceania,5.0,0.00427715996578272,,2372.125,1158.0,932.6666666666666,,,
Tonga,Oceania,10123.111332007953,14.381522668947818,,108577.56410256411,56519.256410256414,35485.818181818184,46.49618604651163,150.028,5425.621
Trinidad and Tobago,North America,77065.84790528234,162.46193327630453,374752.8700787402,1095340.8468271336,563417.816993464,123788.17441860466,53.15781395348837,266.886,28763.071
Tunisia,Africa,587195.4117117117,985.730308219178,2591685.3387096776,7118305.384384384,4182577.5075075077,832588.4304635761,50.333637209302324,74.228,10849.297
Turkey,Asia,8191052.035422344,14546.344739093242,60164796.57788945,99756300.11058451,45376754.9668325,26437087.69527897,43.4604,104.914,25129.341
Turkmenistan,Asia,,0.0,,5159518.333333333,2614561.0,434817.0,,12.253,16389.023
Turks and Caicos Islands,North America,3393.2601102941176,5.612489307100086,,52846.346153846156,24120.8,7357.5,,37.312,
Tuvalu,Oceania,1139.8657718120805,2.377245508982036,,11788.09090909091,6261.636363636364,5403.5,,373.067,3575.104
Uganda,Africa,96213.3752293578,146.02140410958904,1077752.7406832299,5301589.963768116,5133156.670103093,241185.1,54.80951627906977,213.759,1697.707
Ukraine,Europe,2778989.133453562,4650.694087403599,7677778.519784173,11833686.861495845,6504267.337950138,265170.3582089552,43.8058976744186,77.39,7894.392999999999
United Arab Emirates,Asia,577320.4024496938,902.4041095890411,58607484.67021277,15113748.346666666,8805515.72868217,3285950.0202702703,45.10057674418605,112.44200000000001,67293.483
United Kingdom,Europe,10765421.75877193,21000.340498710233,185604641.1799486,100736230.53731343,44615350.76190476,32309665.06764706,43.899869767441864,272.898,39753.244
United States,North America,46671168.393229164,87987.95962199313,410386446.7011905,457671611.16909975,210224881.88321167,53831729.09913044,49.372,35.608,54225.446
United States Virgin Islands,North America,9950.866544789762,21.29073756432247,57522.651685393255,,,,,306.48,
Uruguay,South America,459953.6809480401,885.5582191780821,2077649.4055482165,6615655.458625526,2581127.3295932678,1668324.4500703234,38.20309767441861,19.751,20551.409
Uzbekistan,Asia,147692.23996350364,215.08126603934988,,28466115.366906475,12534860.649122806,9329311.0,39.58139534883721,76.134,6253.104
Vanuatu,Oceania,4502.705607476635,10.27715996578272,11723.0,133085.5,76981.36842105263,13325.181818181818,29.816790697674417,22.662,2921.909
Vatican,Europe,22.852488687782806,0.022241231822070145,,,,,,,
Venezuela,South America,313339.9107468124,472.3781009409752,,13351340.615384616,8310643.16,478992.0,56.27979534883721,36.253,16745.022
Vietnam,Asia,3821931.0191804706,9860.610778443113,70073623.1011236,100941271.26097561,43348443.93842365,48678775.505747125,55.751023255813955,308.127,6171.884
Wales,Europe,,,,5727586.589909444,2243714.5491573033,2386924.376518219,,,
Wallis and Futuna,Oceania,924.7087599544938,2.9315654405474767,,10291.595744680852,5028.195121951219,3314.4285714285716,,,
Western Sahara,Africa,,,3943.0,,,,,,
Yemen,Asia,7426.809523809524,10.218135158254919,333264.5,713949.775,586869.5365853659,35678.42857142857,26.846260465116277,53.508,1479.147
Zambia,Africa,181145.73376029276,294.3825042881647,1566342.113520408,2418275.08203125,715392.5961538461,28382.333333333332,30.28340465116279,22.995,3689.2510000000007
Zimbabwe,Africa,130232.54170485793,226.16852010265183,702922.6706231454,6175811.95,3457212.198076923,537036.0974576271,59.403004651162796,42.729,1899.775
